,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.206,0.292,0.0,0.0
1,ECL_96_336,0.219,0.306,0.0,0.0
2,ECL_96_720,0.254,0.336,0.0,0.0
3,ECL_96_96,0.207,0.289,0.0,0.0
4,ETTh1_96_192,0.438,0.431,0.0,0.0
5,ETTh1_96_336,0.478,0.454,0.0,0.001
6,ETTh1_96_720,0.495,0.495,0.004,0.004
7,ETTh1_96_96,0.389,0.401,0.001,0.001
8,ETTh2_96_192,0.387,0.406,0.002,0.002
9,ETTh2_96_336,0.451,0.454,0.003,0.002
10,ETTh2_96_720,0.607,0.548,0.011,0.004
11,ETTh2_96_96,0.298,0.348,0.0,0.001
12,ETTm1_96_192,0.376,0.373,0.0,0.0
13,ETTm1_96_336,0.407,0.395,0.0,0.001
14,ETTm1_96_720,0.469,0.433,0.0,0.001
15,ETTm1_96_96,0.331,0.35,0.0,0.0
16,ETTm2_96_192,0.245,0.303,0.001,0.001
17,ETTm2_96_336,0.306,0.348,0.001,0.003
18,ETTm2_96_720,0.41,0.417,0.003,0.004
19,ETTm2_96_96,0.182,0.258,0.0,0.0
20,weather_96_192,0.242,0.269,0.0,0.0
21,weather_96_336,0.286,0.306,0.0,0.0
22,weather_96_720,0.345,0.355,0.001,0.001
23,weather_96_96,0.206,0.233,0.0,0.0
