,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.21,0.305,0.0,0.0
1,ECL_96_336,0.223,0.319,0.0,0.0
2,ECL_96_720,0.258,0.35,0.0,0.0
3,ECL_96_96,0.21,0.302,0.0,0.0
4,ETTh1_96_192,0.446,0.441,0.002,0.002
5,ETTh1_96_336,0.489,0.467,0.007,0.007
6,ETTh1_96_720,0.513,0.511,0.004,0.003
7,ETTh1_96_96,0.396,0.411,0.001,0.001
8,ETTh2_96_192,0.476,0.476,0.013,0.007
9,ETTh2_96_336,0.587,0.539,0.015,0.007
10,ETTh2_96_720,0.832,0.658,0.02,0.008
11,ETTh2_96_96,0.347,0.4,0.006,0.005
12,ETTm1_96_192,0.382,0.391,0.0,0.001
13,ETTm1_96_336,0.414,0.414,0.001,0.001
14,ETTm1_96_720,0.473,0.45,0.001,0.001
15,ETTm1_96_96,0.345,0.372,0.0,0.001
16,ETTm2_96_192,0.282,0.359,0.006,0.006
17,ETTm2_96_336,0.378,0.424,0.007,0.005
18,ETTm2_96_720,0.534,0.512,0.022,0.012
19,ETTm2_96_96,0.193,0.292,0.002,0.003
20,weather_96_192,0.237,0.296,0.002,0.003
21,weather_96_336,0.282,0.332,0.001,0.002
22,weather_96_720,0.347,0.383,0.003,0.004
23,weather_96_96,0.196,0.258,0.001,0.002
