MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.21036772,0.30155045,0.4586586,2.5641046,392705.12,custom,ECL_96_96,96,96,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.21018027,0.30474302,0.45845422,2.5958297,361166.44,custom,ECL_96_192,96,192,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.22310743,0.31920332,0.4723425,2.5604024,255537.78,custom,ECL_96_336,96,336,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.25776863,0.34964564,0.5077092,2.6481166,168178.55,custom,ECL_96_720,96,720,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.19622044,0.25611007,0.44296777,13.08518,16845246.0,custom,weather_96_96,96,96,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.23893194,0.2992104,0.48880664,12.456977,14273610.0,custom,weather_96_192,96,192,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.28105342,0.3305887,0.5301447,11.911141,13299382.0,custom,weather_96_336,96,336,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.3453568,0.38188398,0.5876706,10.710922,12790613.0,custom,weather_96_720,96,720,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.39615813,0.41084126,0.6294109,8.502879,34895.02,ETTh1,ETTh1_96_96,96,96,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.44500706,0.44038147,0.6670885,8.50877,30775.938,ETTh1,ETTh1_96_192,96,192,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.4874107,0.46540385,0.6981481,8.431503,30395.154,ETTh1,ETTh1_96_336,96,336,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.5126378,0.51040506,0.71598727,8.729123,30288.377,ETTh1,ETTh1_96_720,96,720,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.3414474,0.3952932,0.584335,1.3194796,303.79822,ETTh2,ETTh2_96_96,96,96,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.48190916,0.47919765,0.69419676,1.3430924,250.7388,ETTh2,ETTh2_96_192,96,192,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.59293133,0.5421715,0.77002037,1.4321661,251.63026,ETTh2,ETTh2_96_336,96,336,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.8403232,0.6610994,0.9166914,1.411982,202.33124,ETTh2,ETTh2_96_720,96,720,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.3459466,0.37370887,0.58817226,1.9506838,285.55347,ETTm1,ETTm1_96_96,96,96,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.38181475,0.3910686,0.6179116,2.0184371,296.62286,ETTm1,ETTm1_96_192,96,192,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.41526726,0.41502675,0.64441234,2.0300388,284.9578,ETTm1,ETTm1_96_336,96,336,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.4729786,0.45093986,0.68773437,2.1241398,316.0104,ETTm1,ETTm1_96_720,96,720,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.19342846,0.29281715,0.43980503,1.0952868,217.48264,ETTm2,ETTm2_96_96,96,96,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.28453243,0.36138326,0.5334158,1.1530206,201.9039,ETTm2,ETTm2_96_192,96,192,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.384927,0.42946735,0.62042487,1.196024,195.54167,ETTm2,ETTm2_96_336,96,336,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.55610424,0.52348673,0.74572396,1.2758166,205.06088,ETTm2,ETTm2_96_720,96,720,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
