,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.206,0.299,0.0,0.0
1,ECL_96_336,0.219,0.314,0.0,0.0
2,ECL_96_720,0.254,0.346,0.0,0.0
3,ECL_96_96,0.206,0.296,0.0,0.0
4,ETTh1_96_192,0.446,0.442,0.006,0.006
5,ETTh1_96_336,0.488,0.466,0.006,0.006
6,ETTh1_96_720,0.513,0.51,0.003,0.003
7,ETTh1_96_96,0.396,0.41,0.001,0.001
8,ETTh2_96_192,0.468,0.471,0.014,0.008
9,ETTh2_96_336,0.579,0.534,0.016,0.007
10,ETTh2_96_720,0.824,0.654,0.02,0.008
11,ETTh2_96_96,0.339,0.394,0.005,0.004
12,ETTm1_96_192,0.381,0.39,0.0,0.001
13,ETTm1_96_336,0.414,0.414,0.001,0.001
14,ETTm1_96_720,0.472,0.45,0.001,0.001
15,ETTm1_96_96,0.345,0.372,0.0,0.001
16,ETTm2_96_192,0.275,0.352,0.005,0.005
17,ETTm2_96_336,0.364,0.414,0.006,0.004
18,ETTm2_96_720,0.519,0.503,0.021,0.012
19,ETTm2_96_96,0.19,0.288,0.003,0.004
20,weather_96_192,0.236,0.294,0.002,0.004
21,weather_96_336,0.282,0.331,0.001,0.002
22,weather_96_720,0.347,0.383,0.003,0.005
23,weather_96_96,0.196,0.256,0.001,0.002
