,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.209,0.302,0.0,0.0
1,ECL_96_336,0.221,0.316,0.0,0.0
2,ECL_96_720,0.256,0.346,0.0,0.0
3,ECL_96_96,0.209,0.298,0.0,0.0
4,ETTh1_96_192,0.441,0.436,0.001,0.001
5,ETTh1_96_336,0.482,0.459,0.001,0.001
6,ETTh1_96_720,0.501,0.501,0.004,0.003
7,ETTh1_96_96,0.393,0.406,0.001,0.001
8,ETTh2_96_192,0.421,0.438,0.009,0.005
9,ETTh2_96_336,0.504,0.491,0.007,0.004
10,ETTh2_96_720,0.721,0.604,0.014,0.006
11,ETTh2_96_96,0.315,0.371,0.004,0.004
12,ETTm1_96_192,0.377,0.383,0.001,0.001
13,ETTm1_96_336,0.408,0.405,0.001,0.001
14,ETTm1_96_720,0.468,0.442,0.001,0.001
15,ETTm1_96_96,0.337,0.363,0.0,0.0
16,ETTm2_96_192,0.253,0.326,0.002,0.004
17,ETTm2_96_336,0.324,0.378,0.005,0.005
18,ETTm2_96_720,0.445,0.453,0.009,0.006
19,ETTm2_96_96,0.183,0.276,0.001,0.002
20,weather_96_192,0.236,0.278,0.0,0.001
21,weather_96_336,0.28,0.316,0.0,0.003
22,weather_96_720,0.342,0.366,0.0,0.002
23,weather_96_96,0.197,0.24,0.0,0.001
