MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.38910452,0.40161553,0.62378246,8.935981,39567.37,ETTh1,ETTh1_96_96,96,96,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.43794927,0.43056658,0.6617774,8.923688,34815.047,ETTh1,ETTh1_96_192,96,192,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.47818977,0.45351982,0.69151264,8.790336,34608.574,ETTh1,ETTh1_96_336,96,336,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.4933732,0.49378484,0.7024053,8.731872,32329.645,ETTh1,ETTh1_96_720,96,720,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.29745355,0.34759235,0.54539305,1.3963691,388.16312,ETTh2,ETTh2_96_96,96,96,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.3871774,0.4065863,0.62223583,1.490938,327.82822,ETTh2,ETTh2_96_192,96,192,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.44949356,0.4531591,0.6704428,1.622689,349.54388,ETTh2,ETTh2_96_336,96,336,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.6045962,0.5460292,0.77755785,1.6089456,284.64285,ETTh2,ETTh2_96_720,96,720,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.33143777,0.35014212,0.5757063,2.0302598,358.40375,ETTm1,ETTm1_96_96,96,96,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.3761073,0.37254453,0.6132759,2.1221817,367.5201,ETTm1,ETTm1_96_192,96,192,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.40694895,0.39502844,0.6379255,2.1613274,361.80475,ETTm1,ETTm1_96_336,96,336,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.46871194,0.4324557,0.6846254,2.30986,414.0662,ETTm1,ETTm1_96_720,96,720,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.18191487,0.2575582,0.4265148,1.1145762,255.00195,ETTm2,ETTm2_96_96,96,96,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.24507329,0.30339277,0.49504876,1.2148736,251.38837,ETTm2,ETTm2_96_192,96,192,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.30645558,0.34935176,0.5535843,1.3134978,273.55154,ETTm2,ETTm2_96_336,96,336,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.40841347,0.4141849,0.63907236,1.4981174,332.30325,ETTm2,ETTm2_96_720,96,720,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.20576055,0.23325805,0.45360836,13.374955,18630770.0,custom,weather_96_96,96,96,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.24239664,0.26869777,0.49233794,13.443505,17245698.0,custom,weather_96_192,96,192,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.28551465,0.30595875,0.53433573,12.700929,14790788.0,custom,weather_96_336,96,336,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.34460077,0.35460758,0.5870271,11.894971,15478434.0,custom,weather_96_720,96,720,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.20696908,0.2887008,0.45493856,2.646058,559624.3,custom,ECL_96_96,96,96,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.20615119,0.29213014,0.45403874,2.6665523,507251.38,custom,ECL_96_192,96,192,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.21905918,0.30636108,0.46803758,2.6179628,357366.16,custom,ECL_96_336,96,336,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.2541371,0.3362837,0.5041201,2.694527,223840.3,custom,ECL_96_720,96,720,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
