MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.3952566,0.40991947,0.62869436,8.520256,35178.81,ETTh1,ETTh1_96_96,96,96,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.44430605,0.4396618,0.66656286,8.513841,30896.596,ETTh1,ETTh1_96_192,96,192,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.4868968,0.4648672,0.6977799,8.438244,30504.771,ETTh1,ETTh1_96_336,96,336,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.51218784,0.5100129,0.71567297,8.749054,30441.223,ETTh1,ETTh1_96_720,96,720,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.33647656,0.39123568,0.580066,1.3224589,307.7292,ETTh2,ETTh2_96_96,96,96,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.47427118,0.47434902,0.6886735,1.3477136,254.46136,ETTh2,ETTh2_96_192,96,192,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.58421487,0.537274,0.7643395,1.4386113,256.44196,ETTh2,ETTh2_96_336,96,336,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.8321085,0.65751195,0.9121998,1.4141109,204.37283,ETTh2,ETTh2_96_720,96,720,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,DLinear
0.34574333,0.37342608,0.5879994,1.9526842,286.17175,ETTm1,ETTm1_96_96,96,96,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.381661,0.39080405,0.6177872,2.0212662,297.5699,ETTm1,ETTm1_96_192,96,192,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.41507375,0.4147651,0.6442622,2.032253,285.74725,ETTm1,ETTm1_96_336,96,336,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.4727391,0.45054635,0.68756026,2.1271179,317.15305,ETTm1,ETTm1_96_720,96,720,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.19072261,0.28886378,0.43671802,1.093753,219.54541,ETTm2,ETTm2_96_96,96,96,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.27436748,0.3525886,0.52380097,1.1771809,207.1029,ETTm2,ETTm2_96_192,96,192,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.3654911,0.41492707,0.6045586,1.205441,203.53317,ETTm2,ETTm2_96_336,96,336,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.5402074,0.5147596,0.73498803,1.2830173,210.74722,ETTm2,ETTm2_96_720,96,720,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,DLinear
0.20617892,0.2959651,0.4540693,2.560622,416007.06,custom,ECL_96_96,96,96,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.20591424,0.29914534,0.45377776,2.5884635,375511.8,custom,ECL_96_192,96,192,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.21905352,0.31413013,0.46803153,2.554987,263652.25,custom,ECL_96_336,96,336,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.2542827,0.34556744,0.50426453,2.6506224,172181.31,custom,ECL_96_720,96,720,48,512,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,DLinear
0.19523539,0.25318184,0.44185448,13.132972,17035590.0,custom,weather_96_96,96,96,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.23570395,0.2927888,0.4854935,12.793942,15219844.0,custom,weather_96_192,96,192,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.28096843,0.33002707,0.5300645,11.924655,13324629.0,custom,weather_96_336,96,336,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
0.3453356,0.3816839,0.5876526,10.712217,12797416.0,custom,weather_96_720,96,720,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,DLinear
