,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.161,0.251,0.001,0.002
1,ECL_96_336,0.178,0.27,0.002,0.001
2,ECL_96_720,0.218,0.306,0.006,0.005
3,ECL_96_96,0.144,0.235,0.001,0.001
4,ETTh1_96_192,0.444,0.44,0.007,0.007
5,ETTh1_96_336,0.478,0.455,0.003,0.005
6,ETTh1_96_720,0.5,0.489,0.023,0.015
7,ETTh1_96_96,0.384,0.402,0.002,0.002
8,ETTh2_96_192,0.374,0.395,0.003,0.002
9,ETTh2_96_336,0.426,0.432,0.012,0.003
10,ETTh2_96_720,0.425,0.442,0.001,0.003
11,ETTh2_96_96,0.296,0.347,0.005,0.003
12,ETTm1_96_192,0.378,0.391,0.009,0.005
13,ETTm1_96_336,0.413,0.415,0.011,0.007
14,ETTm1_96_720,0.471,0.45,0.008,0.004
15,ETTm1_96_96,0.325,0.363,0.008,0.006
16,ETTm2_96_192,0.249,0.308,0.003,0.003
17,ETTm2_96_336,0.314,0.35,0.01,0.005
18,ETTm2_96_720,0.411,0.405,0.004,0.002
19,ETTm2_96_96,0.181,0.263,0.002,0.004
20,weather_96_192,0.221,0.257,0.002,0.002
21,weather_96_336,0.282,0.3,0.002,0.001
22,weather_96_720,0.358,0.35,0.003,0.002
23,weather_96_96,0.173,0.214,0.003,0.003
