,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.163,0.251,0.002,0.001
1,ECL_96_336,0.179,0.268,0.001,0.001
2,ECL_96_720,0.219,0.304,0.015,0.012
3,ECL_96_96,0.144,0.233,0.002,0.002
4,ETTh1_96_192,0.44,0.433,0.005,0.004
5,ETTh1_96_336,0.483,0.455,0.006,0.004
6,ETTh1_96_720,0.487,0.478,0.018,0.012
7,ETTh1_96_96,0.383,0.399,0.003,0.002
8,ETTh2_96_192,0.372,0.39,0.005,0.004
9,ETTh2_96_336,0.429,0.428,0.011,0.005
10,ETTh2_96_720,0.428,0.441,0.012,0.005
11,ETTh2_96_96,0.291,0.34,0.004,0.002
12,ETTm1_96_192,0.368,0.38,0.007,0.005
13,ETTm1_96_336,0.404,0.403,0.011,0.008
14,ETTm1_96_720,0.469,0.442,0.005,0.004
15,ETTm1_96_96,0.32,0.355,0.003,0.003
16,ETTm2_96_192,0.242,0.3,0.003,0.002
17,ETTm2_96_336,0.303,0.339,0.004,0.002
18,ETTm2_96_720,0.403,0.398,0.006,0.004
19,ETTm2_96_96,0.176,0.257,0.003,0.002
20,weather_96_192,0.222,0.255,0.003,0.002
21,weather_96_336,0.279,0.296,0.002,0.001
22,weather_96_720,0.357,0.347,0.003,0.003
23,weather_96_96,0.17,0.209,0.005,0.007
