,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.161,0.244,0.001,0.001
1,ECL_96_336,0.177,0.262,0.002,0.001
2,ECL_96_720,0.209,0.29,0.004,0.004
3,ECL_96_96,0.143,0.227,0.0,0.0
4,ETTh1_96_192,0.434,0.424,0.004,0.002
5,ETTh1_96_336,0.478,0.447,0.006,0.005
6,ETTh1_96_720,0.486,0.475,0.01,0.006
7,ETTh1_96_96,0.38,0.393,0.002,0.002
8,ETTh2_96_192,0.371,0.387,0.003,0.002
9,ETTh2_96_336,0.429,0.425,0.009,0.003
10,ETTh2_96_720,0.419,0.433,0.013,0.01
11,ETTh2_96_96,0.29,0.335,0.002,0.001
12,ETTm1_96_192,0.368,0.37,0.004,0.002
13,ETTm1_96_336,0.403,0.394,0.003,0.002
14,ETTm1_96_720,0.472,0.434,0.005,0.002
15,ETTm1_96_96,0.313,0.341,0.001,0.001
16,ETTm2_96_192,0.241,0.296,0.001,0.0
17,ETTm2_96_336,0.304,0.337,0.004,0.003
18,ETTm2_96_720,0.398,0.393,0.005,0.002
19,ETTm2_96_96,0.173,0.25,0.001,0.001
20,weather_96_192,0.218,0.249,0.003,0.003
21,weather_96_336,0.275,0.29,0.002,0.002
22,weather_96_720,0.353,0.342,0.002,0.002
23,weather_96_96,0.165,0.199,0.003,0.002
