,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.161,0.251,0.001,0.001
1,ECL_96_336,0.18,0.271,0.004,0.004
2,ECL_96_720,0.218,0.305,0.006,0.007
3,ECL_96_96,0.145,0.235,0.0,0.001
4,ETTh1_96_192,0.444,0.44,0.008,0.007
5,ETTh1_96_336,0.48,0.456,0.007,0.004
6,ETTh1_96_720,0.5,0.49,0.024,0.015
7,ETTh1_96_96,0.384,0.403,0.003,0.002
8,ETTh2_96_192,0.373,0.394,0.002,0.002
9,ETTh2_96_336,0.427,0.433,0.013,0.004
10,ETTh2_96_720,0.426,0.443,0.004,0.003
11,ETTh2_96_96,0.295,0.346,0.002,0.002
12,ETTm1_96_192,0.375,0.39,0.008,0.005
13,ETTm1_96_336,0.413,0.415,0.009,0.006
14,ETTm1_96_720,0.469,0.449,0.005,0.003
15,ETTm1_96_96,0.322,0.36,0.004,0.003
16,ETTm2_96_192,0.248,0.306,0.002,0.002
17,ETTm2_96_336,0.309,0.345,0.007,0.004
18,ETTm2_96_720,0.409,0.404,0.003,0.002
19,ETTm2_96_96,0.18,0.261,0.002,0.003
20,weather_96_192,0.223,0.258,0.007,0.006
21,weather_96_336,0.28,0.299,0.004,0.005
22,weather_96_720,0.358,0.35,0.004,0.003
23,weather_96_96,0.172,0.211,0.008,0.003
