MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.38282257,0.39426002,0.61872655,9.84403,45133.027,ETTh1,ETTh1_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.43964598,0.42725658,0.66305804,9.945343,39345.01,ETTh1,ETTh1_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.48864165,0.44867495,0.6990291,10.4409485,46391.12,ETTh1,ETTh1_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.56534505,0.5129305,0.7518943,10.705555,42756.516,ETTh1,ETTh1_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.28567973,0.3354557,0.53449017,1.4464872,435.3891,ETTh2,ETTh2_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.37843594,0.39646354,0.6151715,1.6513953,430.0603,ETTh2,ETTh2_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.42680743,0.42832205,0.653305,1.7587976,433.19113,ETTh2,ETTh2_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.42260537,0.4425019,0.65008104,2.0071168,575.75323,ETTh2,ETTh2_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.31491157,0.35356456,0.5611698,2.1052377,338.6369,ETTm1,ETTm1_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.36525884,0.37906027,0.6043665,2.174094,354.4862,ETTm1,ETTm1_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.41489992,0.40622714,0.64412725,2.3170822,418.95932,ETTm1,ETTm1_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.45517203,0.43617338,0.6746644,2.4862375,430.7685,ETTm1,ETTm1_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.17295404,0.2565085,0.41587743,1.1075218,230.62318,ETTm2,ETTm2_96_96,96,96,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.24211298,0.30254892,0.49204978,1.25224,259.72372,ETTm2,ETTm2_96_192,96,192,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.29911992,0.33761665,0.5469186,1.3500024,291.2485,ETTm2,ETTm2_96_336,96,336,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.39306745,0.39426622,0.6269509,1.5199081,345.28622,ETTm2,ETTm2_96_720,96,720,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.15719664,0.2502879,0.39648032,2.6116328,950694.5,custom,ECL_96_96,96,96,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.17026262,0.26030535,0.41262892,2.7356977,983678.75,custom,ECL_96_192,96,192,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.1860841,0.27543297,0.43137467,2.6973963,746334.4,custom,ECL_96_336,96,336,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.22633044,0.30923232,0.47574198,2.7960546,447594.97,custom,ECL_96_720,96,720,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.1626072,0.2039174,0.40324584,14.984613,25259566.0,custom,weather_96_96,96,96,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.20908216,0.24820273,0.45725504,15.81515,25132096.0,custom,weather_96_192,96,192,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.26525602,0.28892195,0.5150301,15.424418,23150442.0,custom,weather_96_336,96,336,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.34293872,0.34119573,0.5856097,15.033809,25628406.0,custom,weather_96_720,96,720,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
