MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.38155752,0.3871106,0.61770344,9.450761,40494.836,ETTh1,ETTh1_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.43727526,0.42314863,0.66126794,9.697592,37864.45,ETTh1,ETTh1_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.47535345,0.43709904,0.6894588,9.887676,39665.76,ETTh1,ETTh1_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.5326661,0.48368636,0.72983974,11.058345,50047.113,ETTh1,ETTh1_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.28685236,0.33100325,0.535586,1.3819562,423.43872,ETTh2,ETTh2_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.36707363,0.38354188,0.605866,1.496809,355.07947,ETTh2,ETTh2_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.42462474,0.4268881,0.65163237,1.7093935,411.32315,ETTh2,ETTh2_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.450002,0.45510584,0.6708219,2.0699098,644.8802,ETTh2,ETTh2_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.31339937,0.33989236,0.55982083,2.0739572,376.26645,ETTm1,ETTm1_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.37151212,0.36862555,0.60951793,2.2207782,414.56314,ETTm1,ETTm1_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.40369508,0.39194605,0.63537,2.278812,414.5496,ETTm1,ETTm1_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.4592104,0.43076593,0.67765063,2.5412931,464.23624,ETTm1,ETTm1_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.17326209,0.25152218,0.41624764,1.0776564,235.58139,ETTm2,ETTm2_96_96,96,96,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.23582435,0.29348126,0.4856175,1.1941341,246.1047,ETTm2,ETTm2_96_192,96,192,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.29804254,0.33422324,0.5459327,1.3166841,275.7266,ETTm2,ETTm2_96_336,96,336,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.3918507,0.38932133,0.6259798,1.5063198,354.45294,ETTm2,ETTm2_96_720,96,720,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.15936561,0.24724816,0.39920622,2.6420925,989051.2,custom,ECL_96_96,96,96,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.17201434,0.2580325,0.4147461,2.7970881,1095353.1,custom,ECL_96_192,96,192,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.18725508,0.27260253,0.4327298,2.6694126,743021.56,custom,ECL_96_336,96,336,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.22804058,0.3059565,0.47753593,2.7422774,415651.22,custom,ECL_96_720,96,720,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.16286685,0.19823796,0.40356764,15.258157,25604612.0,custom,weather_96_96,96,96,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.20675412,0.24020417,0.45470223,16.723873,28207686.0,custom,weather_96_192,96,192,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.2638507,0.28225297,0.513664,15.446145,24134108.0,custom,weather_96_336,96,336,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.3417546,0.33429414,0.5845978,15.0170965,25900764.0,custom,weather_96_720,96,720,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
