,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.17,0.261,0.0,0.001
1,ECL_96_336,0.186,0.277,0.002,0.001
2,ECL_96_720,0.226,0.311,0.002,0.002
3,ECL_96_96,0.156,0.248,0.001,0.003
4,ETTh1_96_192,0.444,0.432,0.012,0.002
5,ETTh1_96_336,0.486,0.451,0.014,0.009
6,ETTh1_96_720,0.49,0.475,0.019,0.013
7,ETTh1_96_96,0.384,0.399,0.016,0.006
8,ETTh2_96_192,0.378,0.397,0.01,0.005
9,ETTh2_96_336,0.432,0.436,0.011,0.008
10,ETTh2_96_720,0.441,0.451,0.016,0.009
11,ETTh2_96_96,0.292,0.342,0.007,0.004
12,ETTm1_96_192,0.364,0.384,0.006,0.004
13,ETTm1_96_336,0.391,0.404,0.008,0.004
14,ETTm1_96_720,0.457,0.443,0.004,0.003
15,ETTm1_96_96,0.322,0.36,0.003,0.003
16,ETTm2_96_192,0.241,0.302,0.005,0.005
17,ETTm2_96_336,0.299,0.34,0.004,0.003
18,ETTm2_96_720,0.393,0.396,0.004,0.003
19,ETTm2_96_96,0.177,0.26,0.003,0.004
20,weather_96_192,0.208,0.252,0.002,0.002
21,weather_96_336,0.264,0.292,0.004,0.004
22,weather_96_720,0.345,0.345,0.002,0.002
23,weather_96_96,0.162,0.209,0.001,0.001
