,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.17,0.261,0.001,0.001
1,ECL_96_336,0.186,0.276,0.001,0.001
2,ECL_96_720,0.226,0.311,0.002,0.002
3,ECL_96_96,0.156,0.248,0.002,0.003
4,ETTh1_96_192,0.441,0.434,0.013,0.008
5,ETTh1_96_336,0.483,0.45,0.016,0.007
6,ETTh1_96_720,0.499,0.479,0.036,0.024
7,ETTh1_96_96,0.384,0.4,0.014,0.006
8,ETTh2_96_192,0.379,0.396,0.008,0.004
9,ETTh2_96_336,0.426,0.434,0.007,0.003
10,ETTh2_96_720,0.439,0.449,0.013,0.007
11,ETTh2_96_96,0.291,0.341,0.004,0.003
12,ETTm1_96_192,0.363,0.383,0.011,0.006
13,ETTm1_96_336,0.396,0.406,0.01,0.006
14,ETTm1_96_720,0.453,0.44,0.006,0.002
15,ETTm1_96_96,0.321,0.36,0.015,0.01
16,ETTm2_96_192,0.241,0.303,0.002,0.002
17,ETTm2_96_336,0.298,0.339,0.003,0.001
18,ETTm2_96_720,0.393,0.396,0.003,0.003
19,ETTm2_96_96,0.175,0.257,0.002,0.002
20,weather_96_192,0.208,0.253,0.001,0.001
21,weather_96_336,0.265,0.292,0.002,0.003
22,weather_96_720,0.344,0.345,0.003,0.003
23,weather_96_96,0.162,0.209,0.001,0.001
