MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.3789293,0.39653075,0.61557233,9.835144,46751.453,ETTh1,ETTh1_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.44179457,0.43270683,0.6646763,9.8025,38674.516,ETTh1,ETTh1_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.4803617,0.44991183,0.6930813,10.768341,49362.96,ETTh1,ETTh1_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.4810867,0.46261477,0.6936041,10.488216,45634.06,ETTh1,ETTh1_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.2884662,0.33871177,0.5370905,1.4368913,400.06467,ETTh2,ETTh2_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.3766453,0.39722332,0.61371434,1.6747919,466.15305,ETTh2,ETTh2_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.42549476,0.43279845,0.6522996,1.8626091,478.47314,ETTh2,ETTh2_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.4252966,0.4420457,0.6521477,1.973867,568.9786,ETTh2,ETTh2_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.320853,0.36008066,0.56643885,2.1930523,353.14697,ETTm1,ETTm1_96_96,96,96,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.37412316,0.3881622,0.61165607,2.3732262,432.82364,ETTm1,ETTm1_96_192,96,192,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.39383125,0.40634945,0.6275598,2.3934505,395.1706,ETTm1,ETTm1_96_336,96,336,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.45425084,0.44008887,0.6739813,2.5230591,425.93,ETTm1,ETTm1_96_720,96,720,0,16,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.17349872,0.25874355,0.41653177,1.100334,220.15192,ETTm2,ETTm2_96_96,96,96,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.24228814,0.30411285,0.49222773,1.2932628,268.72275,ETTm2,ETTm2_96_192,96,192,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.29808572,0.33753452,0.5459723,1.3597307,293.1449,ETTm2,ETTm2_96_336,96,336,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.39066312,0.39541253,0.6250305,1.5878218,389.01788,ETTm2,ETTm2_96_720,96,720,0,32,M,2,1,32,1,timeF,True,Exp,long_term_forecast,TimeMixer
0.15738489,0.25103542,0.39671764,2.5943356,923485.44,custom,ECL_96_96,96,96,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.1705401,0.2615902,0.412965,2.6655695,802606.2,custom,ECL_96_192,96,192,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.18603425,0.2761452,0.43131688,2.6950052,676023.2,custom,ECL_96_336,96,336,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.22416945,0.30968922,0.47346535,2.8668783,531752.2,custom,ECL_96_720,96,720,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.16265203,0.20989017,0.40330142,15.194967,25272046.0,custom,weather_96_96,96,96,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.20923962,0.25340977,0.45742717,15.719157,24407720.0,custom,weather_96_192,96,192,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.2658358,0.29436362,0.51559263,15.897855,24541532.0,custom,weather_96_336,96,336,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
0.3405894,0.34207562,0.5836004,15.224663,26868596.0,custom,weather_96_720,96,720,0,16,M,3,1,32,3,timeF,True,Exp,long_term_forecast,TimeMixer
