,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.17,0.26,0.001,0.001
1,ECL_96_336,0.186,0.275,0.001,0.002
2,ECL_96_720,0.226,0.309,0.001,0.002
3,ECL_96_96,0.156,0.247,0.001,0.003
4,ETTh1_96_192,0.44,0.427,0.014,0.007
5,ETTh1_96_336,0.488,0.447,0.018,0.009
6,ETTh1_96_720,0.53,0.492,0.069,0.03
7,ETTh1_96_96,0.39,0.398,0.017,0.006
8,ETTh2_96_192,0.372,0.392,0.006,0.005
9,ETTh2_96_336,0.423,0.429,0.01,0.006
10,ETTh2_96_720,0.431,0.447,0.017,0.01
11,ETTh2_96_96,0.29,0.339,0.01,0.007
12,ETTm1_96_192,0.366,0.378,0.003,0.004
13,ETTm1_96_336,0.395,0.399,0.02,0.007
14,ETTm1_96_720,0.453,0.435,0.003,0.003
15,ETTm1_96_96,0.32,0.353,0.007,0.002
16,ETTm2_96_192,0.24,0.3,0.007,0.004
17,ETTm2_96_336,0.294,0.335,0.005,0.003
18,ETTm2_96_720,0.395,0.397,0.007,0.005
19,ETTm2_96_96,0.173,0.255,0.003,0.002
20,weather_96_192,0.208,0.247,0.002,0.002
21,weather_96_336,0.264,0.288,0.001,0.001
22,weather_96_720,0.344,0.341,0.003,0.001
23,weather_96_96,0.162,0.204,0.001,0.001
