,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.173,0.261,0.001,0.003
1,ECL_96_336,0.189,0.275,0.002,0.003
2,ECL_96_720,0.23,0.308,0.002,0.003
3,ECL_96_96,0.159,0.247,0.001,0.004
4,ETTh1_96_192,0.437,0.421,0.013,0.004
5,ETTh1_96_336,0.488,0.443,0.013,0.007
6,ETTh1_96_720,0.512,0.474,0.021,0.013
7,ETTh1_96_96,0.384,0.389,0.009,0.005
8,ETTh2_96_192,0.369,0.386,0.011,0.005
9,ETTh2_96_336,0.416,0.423,0.012,0.005
10,ETTh2_96_720,0.435,0.446,0.015,0.009
11,ETTh2_96_96,0.29,0.333,0.009,0.006
12,ETTm1_96_192,0.368,0.368,0.004,0.001
13,ETTm1_96_336,0.398,0.39,0.01,0.004
14,ETTm1_96_720,0.459,0.429,0.005,0.003
15,ETTm1_96_96,0.311,0.338,0.003,0.002
16,ETTm2_96_192,0.238,0.295,0.003,0.002
17,ETTm2_96_336,0.295,0.332,0.003,0.002
18,ETTm2_96_720,0.394,0.391,0.004,0.002
19,ETTm2_96_96,0.172,0.251,0.002,0.001
20,weather_96_192,0.207,0.24,0.001,0.001
21,weather_96_336,0.264,0.283,0.0,0.001
22,weather_96_720,0.344,0.335,0.002,0.001
23,weather_96_96,0.163,0.198,0.001,0.001
