MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.38339713,0.39718828,0.6191907,9.739216,40975.715,ETTh1,ETTh1_96_96,96,96,48,256,M,1,1,2048,3,timeF,True,exp,long_term_forecast,TimeXer
0.43334815,0.4291148,0.6582918,10.162248,39977.766,ETTh1,ETTh1_96_192,96,192,48,128,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.47952816,0.4471913,0.6924797,10.555355,45047.11,ETTh1,ETTh1_96_336,96,336,48,512,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.5042083,0.48440486,0.7100763,10.440046,43006.84,ETTh1,ETTh1_96_720,96,720,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.28116423,0.33490515,0.53024924,1.4125832,348.77713,ETTh2,ETTh2_96_96,96,96,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.36211136,0.3856147,0.6017569,1.5290618,322.68234,ETTh2,ETTh2_96_192,96,192,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.41270196,0.42347512,0.64241886,1.7791181,469.67136,ETTh2,ETTh2_96_336,96,336,48,512,M,2,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.4245922,0.43920836,0.6516074,1.9434658,525.4561,ETTh2,ETTh2_96_720,96,720,48,256,M,2,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.31929487,0.35357574,0.5650618,2.1660318,366.64133,ETTm1,ETTm1_96_96,96,96,48,256,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.35922474,0.37644985,0.5993536,2.2164972,358.75473,ETTm1,ETTm1_96_192,96,192,48,256,M,1,1,256,3,timeF,True,Exp,long_term_forecast,TimeXer
0.39288044,0.40094632,0.6268017,2.3001916,357.142,ETTm1,ETTm1_96_336,96,336,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.4522402,0.4355886,0.6724881,2.5127118,420.4816,ETTm1,ETTm1_96_720,96,720,48,256,M,1,1,512,3,timeF,True,Exp,long_term_forecast,TimeXer
0.16996136,0.25210056,0.4122637,1.0885932,221.25787,ETTm2,ETTm2_96_96,96,96,48,256,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.23517449,0.29486334,0.48494792,1.2020425,234.32394,ETTm2,ETTm2_96_192,96,192,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.29275724,0.33298317,0.54107046,1.3314744,268.63095,ETTm2,ETTm2_96_336,96,336,48,512,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.38978302,0.38998234,0.62432605,1.5208433,351.36575,ETTm2,ETTm2_96_720,96,720,48,512,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.14036697,0.24150027,0.3746558,2.2893298,509573.22,custom,ECL_96_96,96,96,48,512,M,4,1,512,3,timeF,True,Exp,long_term_forecast,TimeXer
0.15621898,0.19951192,0.39524546,11.589533,15441101.0,custom,weather_96_96,96,96,48,256,M,1,1,512,3,timeF,True,Exp,long_term_forecast,TimeXer
0.20328079,0.2444433,0.4508667,13.355132,17526018.0,custom,weather_96_192,96,192,48,128,M,3,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.26254797,0.28705835,0.51239437,13.49352,17436806.0,custom,weather_96_336,96,336,48,256,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.33920372,0.3364674,0.582412,14.359629,23167862.0,custom,weather_96_720,96,720,48,128,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
