,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.157,0.256,0.001,0.001
1,ECL_96_336,0.175,0.274,0.001,0.001
2,ECL_96_720,0.21,0.305,0.008,0.005
3,ECL_96_96,0.14,0.242,0.001,0.001
4,ETTh1_96_192,0.437,0.437,0.007,0.005
5,ETTh1_96_336,0.477,0.452,0.012,0.005
6,ETTh1_96_720,0.519,0.498,0.027,0.018
7,ETTh1_96_96,0.381,0.401,0.002,0.001
8,ETTh2_96_192,0.364,0.39,0.002,0.002
9,ETTh2_96_336,0.419,0.428,0.02,0.012
10,ETTh2_96_720,0.438,0.448,0.018,0.012
11,ETTh2_96_96,0.287,0.339,0.009,0.006
12,ETTm1_96_192,0.362,0.383,0.001,0.001
13,ETTm1_96_336,0.395,0.406,0.004,0.002
14,ETTm1_96_720,0.452,0.44,0.002,0.002
15,ETTm1_96_96,0.319,0.356,0.002,0.002
16,ETTm2_96_192,0.236,0.297,0.001,0.002
17,ETTm2_96_336,0.297,0.338,0.003,0.002
18,ETTm2_96_720,0.396,0.396,0.005,0.002
19,ETTm2_96_96,0.17,0.254,0.001,0.001
20,weather_96_192,0.205,0.248,0.001,0.001
21,weather_96_336,0.262,0.291,0.001,0.001
22,weather_96_720,0.341,0.341,0.003,0.003
23,weather_96_96,0.157,0.205,0.001,0.002
