,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.157,0.254,0.0,0.0
1,ECL_96_336,0.174,0.272,0.001,0.001
2,ECL_96_720,0.214,0.306,0.002,0.001
3,ECL_96_96,0.14,0.241,0.001,0.001
4,ETTh1_96_192,0.431,0.428,0.004,0.002
5,ETTh1_96_336,0.475,0.448,0.01,0.003
6,ETTh1_96_720,0.509,0.483,0.032,0.022
7,ETTh1_96_96,0.383,0.397,0.004,0.001
8,ETTh2_96_192,0.363,0.387,0.004,0.004
9,ETTh2_96_336,0.417,0.425,0.008,0.005
10,ETTh2_96_720,0.427,0.44,0.014,0.007
11,ETTh2_96_96,0.283,0.336,0.006,0.004
12,ETTm1_96_192,0.361,0.378,0.002,0.001
13,ETTm1_96_336,0.393,0.401,0.002,0.001
14,ETTm1_96_720,0.453,0.435,0.002,0.002
15,ETTm1_96_96,0.317,0.351,0.003,0.002
16,ETTm2_96_192,0.237,0.296,0.002,0.001
17,ETTm2_96_336,0.294,0.333,0.001,0.001
18,ETTm2_96_720,0.396,0.393,0.007,0.003
19,ETTm2_96_96,0.169,0.252,0.002,0.003
20,weather_96_192,0.203,0.244,0.002,0.002
21,weather_96_336,0.262,0.286,0.001,0.001
22,weather_96_720,0.34,0.337,0.002,0.002
23,weather_96_96,0.156,0.199,0.001,0.001
