,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.16,0.253,0.001,0.0
1,ECL_96_336,0.177,0.27,0.002,0.001
2,ECL_96_720,0.218,0.302,0.005,0.004
3,ECL_96_96,0.143,0.238,0.005,0.004
4,ETTh1_96_192,0.438,0.422,0.003,0.002
5,ETTh1_96_336,0.477,0.441,0.006,0.004
6,ETTh1_96_720,0.496,0.473,0.024,0.015
7,ETTh1_96_96,0.382,0.39,0.003,0.002
8,ETTh2_96_192,0.361,0.382,0.002,0.003
9,ETTh2_96_336,0.417,0.424,0.008,0.006
10,ETTh2_96_720,0.423,0.436,0.02,0.012
11,ETTh2_96_96,0.281,0.33,0.003,0.002
12,ETTm1_96_192,0.359,0.366,0.002,0.001
13,ETTm1_96_336,0.393,0.39,0.003,0.001
14,ETTm1_96_720,0.455,0.427,0.003,0.001
15,ETTm1_96_96,0.31,0.339,0.001,0.002
16,ETTm2_96_192,0.234,0.291,0.001,0.0
17,ETTm2_96_336,0.294,0.329,0.004,0.002
18,ETTm2_96_720,0.397,0.39,0.006,0.003
19,ETTm2_96_96,0.167,0.246,0.001,0.001
20,weather_96_192,0.202,0.238,0.001,0.001
21,weather_96_336,0.26,0.281,0.001,0.001
22,weather_96_720,0.339,0.333,0.002,0.001
23,weather_96_96,0.155,0.193,0.001,0.001
