,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.158,0.256,0.001,0.001
1,ECL_96_336,0.176,0.275,0.001,0.001
2,ECL_96_720,0.211,0.306,0.008,0.005
3,ECL_96_96,0.141,0.243,0.001,0.001
4,ETTh1_96_192,0.438,0.439,0.01,0.007
5,ETTh1_96_336,0.479,0.451,0.011,0.002
6,ETTh1_96_720,0.518,0.497,0.03,0.02
7,ETTh1_96_96,0.383,0.403,0.001,0.0
8,ETTh2_96_192,0.364,0.391,0.002,0.001
9,ETTh2_96_336,0.426,0.433,0.017,0.012
10,ETTh2_96_720,0.443,0.451,0.011,0.006
11,ETTh2_96_96,0.285,0.338,0.002,0.002
12,ETTm1_96_192,0.363,0.384,0.002,0.001
13,ETTm1_96_336,0.396,0.407,0.004,0.002
14,ETTm1_96_720,0.454,0.442,0.003,0.001
15,ETTm1_96_96,0.319,0.357,0.003,0.002
16,ETTm2_96_192,0.238,0.299,0.002,0.002
17,ETTm2_96_336,0.298,0.339,0.003,0.002
18,ETTm2_96_720,0.395,0.396,0.004,0.001
19,ETTm2_96_96,0.171,0.256,0.001,0.001
20,weather_96_192,0.205,0.249,0.001,0.001
21,weather_96_336,0.263,0.291,0.002,0.002
22,weather_96_720,0.34,0.341,0.002,0.002
23,weather_96_96,0.158,0.206,0.001,0.002
