MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.3828115,0.4029435,0.6187176,9.939285,43585.105,ETTh1,ETTh1_96_96,96,96,48,256,M,1,1,2048,3,timeF,True,exp,long_term_forecast,TimeXer
0.4415714,0.43759993,0.6645084,9.613655,35436.812,ETTh1,ETTh1_96_192,96,192,48,128,M,2,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.48074755,0.45077553,0.6933596,10.491438,45291.45,ETTh1,ETTh1_96_336,96,336,48,512,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.51991314,0.49507517,0.72105,10.270172,39671.098,ETTh1,ETTh1_96_720,96,720,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.28293017,0.33655277,0.5319118,1.4225827,354.8391,ETTh2,ETTh2_96_96,96,96,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.3639606,0.39149404,0.60329145,1.593051,367.98758,ETTh2,ETTh2_96_192,96,192,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.43547726,0.43913543,0.659907,1.8539224,481.98148,ETTh2,ETTh2_96_336,96,336,48,512,M,2,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.45393184,0.45747766,0.6737446,2.1639607,692.5758,ETTh2,ETTh2_96_720,96,720,48,256,M,2,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.3219539,0.35861522,0.5674098,2.155987,341.42307,ETTm1,ETTm1_96_96,96,96,48,256,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.3651339,0.38505587,0.6042631,2.2511268,354.9822,ETTm1,ETTm1_96_192,96,192,48,256,M,1,1,256,3,timeF,True,Exp,long_term_forecast,TimeXer
0.40053418,0.4093534,0.6328777,2.372214,377.02448,ETTm1,ETTm1_96_336,96,336,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.45339224,0.44105417,0.6733441,2.5143883,406.3479,ETTm1,ETTm1_96_720,96,720,48,256,M,1,1,512,3,timeF,True,Exp,long_term_forecast,TimeXer
0.16964735,0.25475204,0.4118827,1.0943015,225.73618,ETTm2,ETTm2_96_96,96,96,48,256,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.24015296,0.30166334,0.49005404,1.2255579,241.09248,ETTm2,ETTm2_96_192,96,192,48,256,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.29603314,0.3372315,0.54408926,1.3628031,283.03726,ETTm2,ETTm2_96_336,96,336,48,512,M,1,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.39586824,0.3969451,0.6291806,1.5531474,367.15292,ETTm2,ETTm2_96_720,96,720,48,512,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.14086309,0.2434972,0.3753173,2.31171,511568.06,custom,ECL_96_96,96,96,48,512,M,4,1,512,3,timeF,True,Exp,long_term_forecast,TimeXer
0.15732074,0.25637606,0.39663678,2.428026,554760.44,custom,ECL_96_192,96,192,48,512,M,3,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.17645873,0.2736487,0.4200699,2.4180574,364014.78,custom,ECL_96_336,96,336,48,512,M,4,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.21104395,0.30570477,0.4593952,2.6705282,421279.53,custom,ECL_96_720,96,720,48,512,M,3,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.1582865,0.20616412,0.39785236,11.917683,15909650.0,custom,weather_96_96,96,96,48,256,M,1,1,512,3,timeF,True,Exp,long_term_forecast,TimeXer
0.20581435,0.24937846,0.45366767,12.977381,16540255.0,custom,weather_96_192,96,192,48,128,M,3,1,1024,3,timeF,True,Exp,long_term_forecast,TimeXer
0.2638047,0.29188183,0.51361924,13.51348,17978194.0,custom,weather_96_336,96,336,48,256,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
0.34231672,0.34306097,0.58507836,14.183159,22239154.0,custom,weather_96_720,96,720,48,128,M,1,1,2048,3,timeF,True,Exp,long_term_forecast,TimeXer
