,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.186,0.286,0.002,0.002
1,ECL_96_336,0.203,0.303,0.009,0.008
2,ECL_96_720,0.231,0.323,0.012,0.012
3,ECL_96_96,0.166,0.269,0.002,0.002
4,ETTh1_96_192,0.449,0.444,0.013,0.009
5,ETTh1_96_336,0.495,0.469,0.022,0.014
6,ETTh1_96_720,0.514,0.492,0.017,0.01
7,ETTh1_96_96,0.403,0.418,0.016,0.011
8,ETTh2_96_192,0.4,0.407,0.01,0.005
9,ETTh2_96_336,0.437,0.438,0.007,0.004
10,ETTh2_96_720,0.45,0.457,0.023,0.015
11,ETTh2_96_96,0.322,0.362,0.008,0.003
12,ETTm1_96_192,0.387,0.398,0.019,0.01
13,ETTm1_96_336,0.414,0.418,0.006,0.001
14,ETTm1_96_720,0.481,0.453,0.019,0.01
15,ETTm1_96_96,0.328,0.367,0.005,0.005
16,ETTm2_96_192,0.248,0.303,0.006,0.004
17,ETTm2_96_336,0.317,0.345,0.007,0.004
18,ETTm2_96_720,0.422,0.406,0.003,0.002
19,ETTm2_96_96,0.183,0.261,0.002,0.002
20,weather_96_192,0.228,0.265,0.007,0.006
21,weather_96_336,0.283,0.303,0.01,0.006
22,weather_96_720,0.358,0.352,0.002,0.002
23,weather_96_96,0.169,0.216,0.006,0.005
