MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.39704514,0.40632418,0.63011515,9.091037,31843.174,ETTh1,ETTh1_96_96,96,96,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.45382977,0.4422859,0.67366886,10.767258,42382.48,ETTh1,ETTh1_96_192,96,192,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.50752306,0.47069132,0.7124065,9.9864235,35310.742,ETTh1,ETTh1_96_336,96,336,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.502745,0.48330218,0.7090451,10.491973,46742.773,ETTh1,ETTh1_96_720,96,720,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.3022357,0.34725428,0.5497597,1.3945214,363.84683,ETTh2,ETTh2_96_96,96,96,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.39480522,0.40439314,0.6283353,1.5191597,339.01224,ETTh2,ETTh2_96_192,96,192,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.4266931,0.42897668,0.6532175,1.5752637,349.05063,ETTh2,ETTh2_96_336,96,336,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.41882437,0.4338923,0.64716643,1.7109051,403.33643,ETTh2,ETTh2_96_720,96,720,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.3187619,0.3546327,0.56459004,2.115892,328.68335,ETTm1,ETTm1_96_96,96,96,48,64,M,2,1,64,3,timeF,True,Exp,long_term_forecast,TimesNet
0.38139856,0.38924727,0.61757475,2.337237,381.40646,ETTm1,ETTm1_96_192,96,192,48,64,M,2,1,64,3,timeF,True,Exp,long_term_forecast,TimesNet
0.4171676,0.41255903,0.6458851,2.3564975,361.652,ETTm1,ETTm1_96_336,96,336,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.47593248,0.4429564,0.6898786,2.6183908,459.77484,ETTm1,ETTm1_96_720,96,720,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.1797049,0.25646168,0.42391616,1.0630149,224.34415,ETTm2,ETTm2_96_96,96,96,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.24542424,0.2997075,0.4954031,1.1986935,244.64839,ETTm2,ETTm2_96_192,96,192,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.30999058,0.33890247,0.556768,1.2939988,270.4276,ETTm2,ETTm2_96_336,96,336,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.41273305,0.39852592,0.64244306,1.5107279,359.72522,ETTm2,ETTm2_96_720,96,720,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.16968152,0.26795888,0.41192415,2.6805778,393492.3,custom,ECL_96_96,96,96,48,256,M,2,1,512,3,timeF,True,Exp,long_term_forecast,TimesNet
0.18565223,0.28330955,0.43087378,2.8631723,392367.34,custom,ECL_96_192,96,192,48,256,M,2,1,512,3,timeF,True,Exp,long_term_forecast,TimesNet
0.19539559,0.29203326,0.44203573,2.7854152,240218.81,custom,ECL_96_336,96,336,48,256,M,2,1,512,3,timeF,True,Exp,long_term_forecast,TimesNet
0.21717565,0.30794945,0.4660211,2.7812414,192061.25,custom,ECL_96_720,96,720,48,256,M,2,1,512,3,timeF,True,Exp,long_term_forecast,TimesNet
0.1644558,0.20707686,0.4055315,11.716982,15097538.0,custom,weather_96_96,96,96,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.23158391,0.26593027,0.48123166,14.523726,20433976.0,custom,weather_96_192,96,192,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.28658026,0.30309424,0.5353319,13.779723,17795250.0,custom,weather_96_336,96,336,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.3560941,0.35030645,0.5967362,13.349264,19382278.0,custom,weather_96_720,96,720,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
