,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.186,0.287,0.003,0.003
1,ECL_96_336,0.202,0.303,0.008,0.006
2,ECL_96_720,0.241,0.331,0.06,0.043
3,ECL_96_96,0.167,0.271,0.002,0.002
4,ETTh1_96_192,0.458,0.453,0.018,0.011
5,ETTh1_96_336,0.505,0.477,0.021,0.012
6,ETTh1_96_720,0.519,0.496,0.008,0.004
7,ETTh1_96_96,0.406,0.424,0.017,0.012
8,ETTh2_96_192,0.422,0.421,0.051,0.031
9,ETTh2_96_336,0.455,0.452,0.018,0.011
10,ETTh2_96_720,0.458,0.464,0.024,0.016
11,ETTh2_96_96,0.327,0.367,0.018,0.014
12,ETTm1_96_192,0.397,0.405,0.014,0.009
13,ETTm1_96_336,0.423,0.426,0.009,0.004
14,ETTm1_96_720,0.492,0.462,0.02,0.01
15,ETTm1_96_96,0.331,0.372,0.003,0.005
16,ETTm2_96_192,0.254,0.308,0.002,0.001
17,ETTm2_96_336,0.315,0.346,0.005,0.003
18,ETTm2_96_720,0.423,0.408,0.006,0.004
19,ETTm2_96_96,0.187,0.266,0.002,0.002
20,weather_96_192,0.231,0.27,0.006,0.005
21,weather_96_336,0.283,0.305,0.007,0.006
22,weather_96_720,0.358,0.353,0.002,0.002
23,weather_96_96,0.173,0.223,0.004,0.003
