,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.187,0.289,0.004,0.004
1,ECL_96_336,0.203,0.303,0.004,0.005
2,ECL_96_720,0.228,0.321,0.015,0.013
3,ECL_96_96,0.168,0.271,0.002,0.002
4,ETTh1_96_192,0.455,0.452,0.02,0.012
5,ETTh1_96_336,0.509,0.48,0.019,0.011
6,ETTh1_96_720,0.518,0.495,0.006,0.003
7,ETTh1_96_96,0.405,0.423,0.016,0.011
8,ETTh2_96_192,0.411,0.416,0.015,0.011
9,ETTh2_96_336,0.458,0.453,0.011,0.008
10,ETTh2_96_720,0.463,0.466,0.029,0.018
11,ETTh2_96_96,0.324,0.365,0.02,0.014
12,ETTm1_96_192,0.4,0.405,0.014,0.009
13,ETTm1_96_336,0.423,0.426,0.008,0.003
14,ETTm1_96_720,0.488,0.46,0.017,0.01
15,ETTm1_96_96,0.332,0.372,0.005,0.006
16,ETTm2_96_192,0.252,0.307,0.003,0.002
17,ETTm2_96_336,0.319,0.347,0.007,0.004
18,ETTm2_96_720,0.424,0.408,0.01,0.005
19,ETTm2_96_96,0.186,0.264,0.002,0.001
20,weather_96_192,0.231,0.27,0.006,0.005
21,weather_96_336,0.283,0.305,0.007,0.006
22,weather_96_720,0.358,0.353,0.002,0.002
23,weather_96_96,0.173,0.223,0.005,0.003
