MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.4209498,0.4319083,0.64880645,9.758625,39234.516,ETTh1,ETTh1_96_96,96,96,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.46329832,0.4558165,0.6806602,11.175907,46738.957,ETTh1,ETTh1_96_192,96,192,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.49302417,0.47051767,0.7021568,11.603863,53074.45,ETTh1,ETTh1_96_336,96,336,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.52465147,0.49867666,0.7243283,9.693246,33047.316,ETTh1,ETTh1_96_720,96,720,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.3167991,0.36178204,0.5628491,1.5501721,373.20157,ETTh2,ETTh2_96_96,96,96,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.40384886,0.4136774,0.635491,1.6299839,328.38474,ETTh2,ETTh2_96_192,96,192,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.45611125,0.4550226,0.6753601,1.875906,435.5898,ETTh2,ETTh2_96_336,96,336,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.46966544,0.47191617,0.6853214,2.0756795,596.80273,ETTh2,ETTh2_96_720,96,720,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.33666855,0.3785115,0.5802315,2.4511442,409.17352,ETTm1,ETTm1_96_96,96,96,48,64,M,2,1,64,3,timeF,True,Exp,long_term_forecast,TimesNet
0.38830265,0.40001297,0.6231394,2.549981,461.77625,ETTm1,ETTm1_96_192,96,192,48,64,M,2,1,64,3,timeF,True,Exp,long_term_forecast,TimesNet
0.4304363,0.42837912,0.65607643,2.5530224,439.59686,ETTm1,ETTm1_96_336,96,336,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.4956249,0.46358383,0.7040063,2.8117297,523.45996,ETTm1,ETTm1_96_720,96,720,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.18426992,0.26252592,0.42926672,1.1231122,231.44077,ETTm2,ETTm2_96_96,96,96,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.24880265,0.30522248,0.4988012,1.2863803,274.48517,ETTm2,ETTm2_96_192,96,192,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.31211716,0.34299797,0.55867445,1.3366624,282.04245,ETTm2,ETTm2_96_336,96,336,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.43318874,0.41209748,0.65817076,1.5862756,355.51416,ETTm2,ETTm2_96_720,96,720,48,16,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.16970314,0.2724496,0.4119504,2.5439897,218744.48,custom,ECL_96_96,96,96,48,256,M,2,1,512,3,timeF,True,Exp,long_term_forecast,TimesNet
0.1905781,0.2916741,0.43655252,2.7009854,159157.36,custom,ECL_96_192,96,192,48,256,M,2,1,512,3,timeF,True,Exp,long_term_forecast,TimesNet
0.20249176,0.30377448,0.44999084,2.938167,341583.97,custom,ECL_96_336,96,336,48,256,M,2,1,512,3,timeF,True,Exp,long_term_forecast,TimesNet
0.22589855,0.3199788,0.47528785,3.124816,418195.44,custom,ECL_96_720,96,720,48,256,M,2,1,512,3,timeF,True,Exp,long_term_forecast,TimesNet
0.17567585,0.22407538,0.41913703,12.0075865,15989449.0,custom,weather_96_96,96,96,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.2331894,0.27195048,0.4828969,13.415654,17615760.0,custom,weather_96_192,96,192,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.28066492,0.30464348,0.5297782,12.958889,15509706.0,custom,weather_96_336,96,336,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
0.35784018,0.3520235,0.59819746,14.464594,23066140.0,custom,weather_96_720,96,720,48,32,M,2,1,32,3,timeF,True,Exp,long_term_forecast,TimesNet
