,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.165,0.254,0.002,0.002
1,ECL_96_336,0.178,0.269,0.001,0.001
2,ECL_96_720,0.209,0.297,0.002,0.002
3,ECL_96_96,0.147,0.238,0.0,0.001
4,ETTh1_96_192,0.44,0.432,0.003,0.002
5,ETTh1_96_336,0.486,0.456,0.006,0.005
6,ETTh1_96_720,0.503,0.487,0.009,0.005
7,ETTh1_96_96,0.386,0.401,0.002,0.001
8,ETTh2_96_192,0.375,0.394,0.002,0.001
9,ETTh2_96_336,0.42,0.428,0.001,0.001
10,ETTh2_96_720,0.421,0.44,0.001,0.001
11,ETTh2_96_96,0.297,0.345,0.001,0.0
12,ETTm1_96_192,0.377,0.386,0.001,0.001
13,ETTm1_96_336,0.413,0.41,0.001,0.001
14,ETTm1_96_720,0.481,0.448,0.003,0.002
15,ETTm1_96_96,0.331,0.364,0.002,0.001
16,ETTm2_96_192,0.247,0.306,0.003,0.003
17,ETTm2_96_336,0.311,0.347,0.002,0.001
18,ETTm2_96_720,0.41,0.403,0.001,0.001
19,ETTm2_96_96,0.179,0.262,0.003,0.004
20,weather_96_192,0.222,0.254,0.001,0.001
21,weather_96_336,0.281,0.297,0.002,0.001
22,weather_96_720,0.359,0.35,0.002,0.002
23,weather_96_96,0.172,0.209,0.003,0.003
