MSE,MAE,RMSE,MAPE,MSPE,data,model_id,seq_len,pred_len,label_len,d_model,features,e_layers,d_layers,d_ff,factor,embed,distil,description,task_name,model
0.38332355,0.39611068,0.61913127,10.075645,50609.68,ETTh1,ETTh1_96_96,96,96,48,256,M,2,1,256,1,timeF,True,Exp,long_term_forecast,iTransformer
0.43762082,0.42763844,0.6615291,9.794961,41228.035,ETTh1,ETTh1_96_192,96,192,48,256,M,2,1,256,1,timeF,True,Exp,long_term_forecast,iTransformer
0.47605374,0.44691977,0.6899665,10.63191,49448.355,ETTh1,ETTh1_96_336,96,336,48,512,M,2,1,512,1,timeF,True,Exp,long_term_forecast,iTransformer
0.4941131,0.47829902,0.70293176,12.725451,67183.914,ETTh1,ETTh1_96_720,96,720,48,512,M,2,1,512,1,timeF,True,Exp,long_term_forecast,iTransformer
0.29406404,0.3414611,0.54227674,1.3924298,402.60788,ETTh2,ETTh2_96_96,96,96,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,iTransformer
0.37248176,0.39053845,0.6103128,1.5073385,359.3237,ETTh2,ETTh2_96_192,96,192,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,iTransformer
0.41811496,0.42507008,0.64661807,1.6776431,411.27695,ETTh2,ETTh2_96_336,96,336,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,iTransformer
0.41926342,0.4379108,0.6475055,1.9000146,516.9779,ETTh2,ETTh2_96_720,96,720,48,128,M,2,1,128,3,timeF,True,Exp,long_term_forecast,iTransformer
0.3255589,0.35176587,0.5705777,2.117479,357.60934,ETTm1,ETTm1_96_96,96,96,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,iTransformer
0.37462905,0.3764525,0.6120695,2.2177916,376.3485,ETTm1,ETTm1_96_192,96,192,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,iTransformer
0.41066816,0.40214306,0.640834,2.2965775,373.49805,ETTm1,ETTm1_96_336,96,336,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,iTransformer
0.47873533,0.44081044,0.69190705,2.500791,444.0791,ETTm1,ETTm1_96_720,96,720,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,iTransformer
0.17483294,0.2533597,0.41813028,1.1056093,254.08636,ETTm2,ETTm2_96_96,96,96,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,iTransformer
0.24299787,0.29858774,0.49294814,1.2217313,259.47855,ETTm2,ETTm2_96_192,96,192,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,iTransformer
0.3064301,0.33893695,0.5535613,1.3427571,288.621,ETTm2,ETTm2_96_336,96,336,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,iTransformer
0.40172166,0.39505666,0.63381517,1.5419997,358.37537,ETTm2,ETTm2_96_720,96,720,48,128,M,2,1,128,1,timeF,True,Exp,long_term_forecast,iTransformer
0.14850464,0.23379402,0.385363,2.5063207,623402.06,custom,ECL_96_96,96,96,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,iTransformer
0.16372268,0.2479169,0.40462658,2.707154,810849.6,custom,ECL_96_192,96,192,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,iTransformer
0.17884713,0.26487315,0.4229032,2.7906864,766935.1,custom,ECL_96_336,96,336,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,iTransformer
0.20799825,0.29007474,0.45606825,2.996578,758639.75,custom,ECL_96_720,96,720,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,iTransformer
0.16688126,0.20152535,0.40851104,13.945165,22435582.0,custom,weather_96_96,96,96,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,iTransformer
0.21845779,0.24840914,0.46739468,15.761244,25413370.0,custom,weather_96_192,96,192,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,iTransformer
0.27647164,0.29096508,0.5258057,15.189277,23506738.0,custom,weather_96_336,96,336,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,iTransformer
0.35675067,0.345329,0.5972861,15.397444,26512052.0,custom,weather_96_720,96,720,48,512,M,3,1,512,3,timeF,True,Exp,long_term_forecast,iTransformer
