,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.165,0.249,0.002,0.002
1,ECL_96_336,0.179,0.265,0.001,0.001
2,ECL_96_720,0.208,0.29,0.002,0.002
3,ECL_96_96,0.149,0.234,0.0,0.001
4,ETTh1_96_192,0.439,0.429,0.004,0.003
5,ETTh1_96_336,0.482,0.451,0.006,0.004
6,ETTh1_96_720,0.496,0.479,0.01,0.007
7,ETTh1_96_96,0.383,0.396,0.002,0.001
8,ETTh2_96_192,0.375,0.391,0.002,0.001
9,ETTh2_96_336,0.421,0.426,0.003,0.001
10,ETTh2_96_720,0.421,0.438,0.001,0.0
11,ETTh2_96_96,0.295,0.342,0.001,0.0
12,ETTm1_96_192,0.376,0.377,0.001,0.001
13,ETTm1_96_336,0.41,0.402,0.002,0.001
14,ETTm1_96_720,0.478,0.441,0.002,0.001
15,ETTm1_96_96,0.325,0.352,0.002,0.001
16,ETTm2_96_192,0.243,0.299,0.001,0.0
17,ETTm2_96_336,0.306,0.339,0.001,0.0
18,ETTm2_96_720,0.405,0.397,0.003,0.002
19,ETTm2_96_96,0.175,0.253,0.001,0.001
20,weather_96_192,0.219,0.248,0.001,0.001
21,weather_96_336,0.278,0.292,0.003,0.001
22,weather_96_720,0.356,0.344,0.003,0.002
23,weather_96_96,0.167,0.201,0.002,0.001
