,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.165,0.256,0.002,0.002
1,ECL_96_336,0.179,0.271,0.001,0.001
2,ECL_96_720,0.214,0.302,0.013,0.009
3,ECL_96_96,0.148,0.24,0.0,0.001
4,ETTh1_96_192,0.442,0.437,0.004,0.002
5,ETTh1_96_336,0.488,0.46,0.004,0.003
6,ETTh1_96_720,0.504,0.491,0.014,0.008
7,ETTh1_96_96,0.386,0.404,0.001,0.001
8,ETTh2_96_192,0.38,0.399,0.002,0.001
9,ETTh2_96_336,0.422,0.432,0.002,0.001
10,ETTh2_96_720,0.429,0.446,0.002,0.001
11,ETTh2_96_96,0.3,0.35,0.001,0.001
12,ETTm1_96_192,0.382,0.395,0.003,0.002
13,ETTm1_96_336,0.418,0.418,0.002,0.001
14,ETTm1_96_720,0.489,0.457,0.006,0.003
15,ETTm1_96_96,0.342,0.377,0.001,0.001
16,ETTm2_96_192,0.253,0.313,0.001,0.001
17,ETTm2_96_336,0.315,0.352,0.002,0.001
18,ETTm2_96_720,0.413,0.407,0.002,0.002
19,ETTm2_96_96,0.185,0.27,0.001,0.003
20,weather_96_192,0.225,0.258,0.002,0.002
21,weather_96_336,0.281,0.299,0.002,0.001
22,weather_96_720,0.359,0.351,0.002,0.002
23,weather_96_96,0.175,0.215,0.002,0.002
