,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.165,0.256,0.002,0.002
1,ECL_96_336,0.179,0.272,0.002,0.002
2,ECL_96_720,0.213,0.302,0.014,0.01
3,ECL_96_96,0.148,0.239,0.001,0.001
4,ETTh1_96_192,0.443,0.437,0.003,0.002
5,ETTh1_96_336,0.489,0.46,0.003,0.003
6,ETTh1_96_720,0.504,0.491,0.014,0.008
7,ETTh1_96_96,0.386,0.404,0.001,0.001
8,ETTh2_96_192,0.379,0.398,0.001,0.001
9,ETTh2_96_336,0.422,0.431,0.002,0.001
10,ETTh2_96_720,0.427,0.446,0.002,0.001
11,ETTh2_96_96,0.3,0.349,0.001,0.001
12,ETTm1_96_192,0.382,0.395,0.003,0.002
13,ETTm1_96_336,0.418,0.418,0.002,0.001
14,ETTm1_96_720,0.488,0.457,0.006,0.003
15,ETTm1_96_96,0.342,0.376,0.001,0.001
16,ETTm2_96_192,0.252,0.312,0.001,0.001
17,ETTm2_96_336,0.314,0.351,0.003,0.002
18,ETTm2_96_720,0.413,0.406,0.002,0.002
19,ETTm2_96_96,0.184,0.269,0.001,0.003
20,weather_96_192,0.225,0.257,0.002,0.002
21,weather_96_336,0.282,0.299,0.002,0.001
22,weather_96_720,0.359,0.351,0.002,0.002
23,weather_96_96,0.175,0.215,0.003,0.004
